Tag,Type,Building,Replacement asset value,Installation date,Planned replacement date,Estimated end-of-life,Remaining useful life,Estimated Replacement Cost,Estimated Replacement Date,Installation Date,Warranty Expiration Date,Lifetime maintenance cost,Last 12 months maintenance cost,Average annual maintenance cost,MC/RAV(%),Manufacturer,Date Purchased,Filter size,Vin #
1629190 - Electric Panel 01-ES,Electrical,FMX Elementary School,12000,2020-03-04,2033-01-07,2045-03-05,"19 years, 11 months",12000,3/5/2045,3/4/2020,3/5/2035,,,,,,,,
1629191 - Light Fixture 125,Electrical,FMX Elementary School,12000,2020-03-05,2033-01-08,2045-03-06,"19 years, 11 months",12000,3/6/2045,3/5/2020,3/6/2035,,,,,,,,
1629192 - FE-4-HS,Fire Safety,FMX High School,12000.01,2021-03-05,2033-01-09,2046-03-06,"20 years, 11 months",12000,3/7/2045,3/6/2020,3/7/2035,,,,,,,,
1629193 - FE-3-HS,Fire Safety,FMX High School,12000.02,2022-03-05,2033-01-10,2047-03-06,"21 years, 11 months",12000,3/8/2045,3/7/2020,3/8/2035,,,,,,,,
1629194 - FE-2-HS,Fire Safety,FMX High School,12000.03,2023-03-05,2033-01-11,2048-03-06,"22 years, 11 months",12000,3/9/2045,3/8/2020,3/9/2035,,,,,,,,
1629195 - FE-1-HS,Fire Safety,FMX High School,12000.04,2024-03-05,2033-01-12,2049-03-06,"23 years, 11 months",12000,3/10/2045,3/9/2020,3/10/2035,,,,,,,,
1629196 - FE-4-ES,Fire Safety,FMX Elementary School,12000.05,2025-03-05,2033-01-13,2050-03-06,"24 years, 11 months",12000,3/11/2045,3/10/2020,3/11/2035,,,,,,,,
1629197 - FE-3-ES,Fire Safety,FMX Elementary School,12000.06,2026-03-05,2033-01-14,2051-03-06,"25 years, 11 months",12000,3/12/2045,3/11/2020,3/12/2035,,,,,,,,
1629198 - FE-2-ES,Fire Safety,FMX Elementary School,12000.07,2027-03-05,2033-01-15,2052-03-06,"26 years, 11 months",12000,3/13/2045,3/12/2020,3/13/2035,,,,,,,,
1629142 - Drain - HS,Plumbing,FMX High School,12000,2020-01-16,2033-01-16,2045-01-16,"19 years, 10 months",12000,1/16/2045,1/16/2020,1/16/2035,887.52,887.52,887.52,7.39%,,,,
1629199 - FE-1-ES,Fire Safety,FMX Elementary School,12000.08,2028-03-05,2033-01-16,2053-03-06,"27 years, 11 months",12000,3/14/2045,3/13/2020,3/14/2035,,,,,,,,
1629200 - FE-4-MS,Fire Safety,FMX Middle School,12000.09,2029-03-05,2033-01-17,2054-03-06,"28 years, 11 months",12000,3/15/2045,3/14/2020,3/15/2035,,,,,,,,
1629201 - FE-3-MS,Fire Safety,FMX Middle School,12000.1,2030-03-05,2033-01-18,2055-03-06,"29 years, 11 months",12000,3/16/2045,3/15/2020,3/16/2035,,,,,,,,
1629202 - FE-2-MS,Fire Safety,FMX Middle School,12000.11,2031-03-05,2033-01-19,2056-03-06,"30 years, 11 months",12000,3/17/2045,3/16/2020,3/17/2035,,,,,,,,
1629203 - FE-1-MS,Fire Safety,FMX Middle School,12000.12,2032-03-05,2033-01-20,2057-03-06,"31 years, 11 months",12000,3/18/2045,3/17/2020,3/18/2035,,,,,,,,
1629175 - AHU 24 - HS,HVAC,FMX High School,12000,2020-02-18,2033-02-18,2045-02-18,"19 years, 11 months",12000,2/18/2045,2/18/2020,2/18/2035,,,,,Goodman,,,
1629181 - Electric Panel 03 - HS,Electrical,FMX High School,12000,2020-02-24,2033-02-24,2045-02-24,"19 years, 11 months",12000,2/24/2045,2/24/2020,2/24/2035,,,,,,,,
1629182 - Electric Panel 02 - HS,Electrical,FMX High School,12000,2020-02-25,2033-02-25,2045-02-25,"19 years, 11 months",12000,2/25/2045,2/25/2020,2/25/2035,,,,,,,,
1629183 - Electric Panel 01 - HS,Electrical,FMX High School,12000,2020-02-26,2033-02-26,2045-02-26,"19 years, 11 months",12000,2/26/2045,2/26/2020,2/26/2035,,,,,,,,
1629226 - DHW-2-HS,Plumbing,FMX High School,12000,2020-04-09,2033-04-10,2045-04-10,20 years,12000,4/10/2045,4/9/2020,4/10/2035,,,,,,,,
1629227 - DHW-1-HS,Plumbing,FMX High School,12000,2020-04-10,2033-04-11,2045-04-11,20 years,12000,4/11/2045,4/10/2020,4/11/2035,,,,,,,,
1629228 - Backflow Preventer-HS,Plumbing,FMX High School,12000,2020-04-11,2033-04-12,2045-04-12,20 years,12000,4/12/2045,4/11/2020,4/12/2035,,,,,,,,
1629230 - Drinking Fountain 4-HS,Plumbing,FMX High School,12000,2020-04-13,2033-04-14,2045-04-14,"20 years, 1 month",12000,4/14/2045,4/13/2020,4/14/2035,,,,,,,,
1629231 - Drinking Fountain 3-HS,Plumbing,FMX High School,12000,2020-04-14,2033-04-15,2045-04-15,"20 years, 1 month",12000,4/15/2045,4/14/2020,4/15/2035,,,,,,,,
1629232 - Drinking Fountain 2-HS,Plumbing,FMX High School,12000,2020-04-15,2033-04-16,2045-04-16,"20 years, 1 month",12000,4/16/2045,4/15/2020,4/16/2035,,,,,,,,
1629233 - Drinking Fountain 1-HS,Plumbing,FMX High School,12000,2020-04-16,2033-04-17,2045-04-17,"20 years, 1 month",12000,4/17/2045,4/16/2020,4/17/2035,,,,,,,,
1629270 - AHU 2-HS,HVAC,FMX High School,12000,2020-05-23,2033-05-24,2045-05-24,"20 years, 2 months",12000,5/24/2045,5/23/2020,5/24/2035,,,,,Trane,,,
1629271 - AHU 4-HS,HVAC,FMX High School,12000,2020-05-24,2033-05-25,2045-05-25,"20 years, 2 months",12000,5/25/2045,5/24/2020,5/25/2035,,,,,Trane,,,
1629272 - AHU 1-HS,HVAC,FMX High School,12000,2020-05-25,2033-05-26,2045-05-26,"20 years, 2 months",12000,5/26/2045,5/25/2020,5/26/2035,,,,,Trane,,,
1629320 - AHU 5-ES,HVAC,FMX Elementary School,12000,2020-07-12,2033-05-26,2045-07-13,"20 years, 4 months",12000,7/13/2045,7/12/2020,7/13/2035,,,,,,,,
1629302 - Chiller 2-MS,HVAC,FMX Middle School,12000,2020-06-24,2033-05-26,2045-06-25,"20 years, 3 months",12000,6/25/2045,6/24/2020,6/25/2035,,,,,Trane,,,
1629284 - HP - 14-HS,HVAC,FMX High School,12000,2020-06-06,2033-05-26,2045-06-07,"20 years, 2 months",12000,6/7/2045,6/6/2020,6/7/2035,,,,,Carrier,,,
1629311 - HP-18-MS,HVAC,FMX Middle School,12000,2020-07-03,2033-05-26,2045-07-04,"20 years, 3 months",12000,7/4/2045,7/3/2020,7/4/2035,,,,,Carrier,,,
1629293 - VAV-1-ES,HVAC,FMX Elementary School,12000,2020-06-15,2033-05-26,2045-06-16,"20 years, 3 months",12000,6/16/2045,6/15/2020,6/16/2035,,,,,Trane,,,
1629312 - AHU 3-MS,HVAC,FMX Middle School,12000,2020-07-04,2033-05-27,2045-07-05,"20 years, 3 months",12000,7/5/2045,7/4/2020,7/5/2035,,,,,Carrier,,,
1629285 - AHU 4-ES,HVAC,FMX Elementary School,12000,2020-06-07,2033-05-27,2045-06-08,"20 years, 2 months",12000,6/8/2045,6/7/2020,6/8/2035,,,,,Trane,,,
1629320 - AHU 5-ES > 1629321 - Chiller Planet,HVAC,FMX Elementary School,12000,2020-07-13,2033-05-27,2045-07-14,"20 years, 4 months",12000,7/14/2045,7/13/2020,7/14/2035,,,,,,,,
1629273 - Chiller 2-HS,HVAC,FMX High School,12000,2020-05-26,2033-05-27,2045-05-27,"20 years, 2 months",12000,5/27/2045,5/26/2020,5/27/2035,,,,,Trane,,,
1629294 - HP-16-ES,HVAC,FMX Elementary School,12000,2020-06-16,2033-05-27,2045-06-17,"20 years, 3 months",12000,6/17/2045,6/16/2020,6/17/2035,,,,,Trane,,,
1629303 - VAV-6-MS,HVAC,FMX Middle School,12000,2020-06-25,2033-05-27,2045-06-26,"20 years, 3 months",12000,6/26/2045,6/25/2020,6/26/2035,,,,,Trane,,,
1629283 - AHU 3-HS,HVAC,FMX High School,12000,2020-06-05,2033-06-06,2045-06-06,"20 years, 2 months",12000,6/6/2045,6/5/2020,6/6/2035,,,,,Carrier,,,
1629143 - sink 6 - HS,Plumbing,FMX High School,12000,2020-01-17,2034-01-01,2045-01-17,"19 years, 10 months",12000,1/17/2045,1/17/2020,1/17/2035,,,,,,,,
1629144 - Sink 4 - HS,Plumbing,FMX High School,12000,2020-01-18,2034-01-02,2045-01-18,"19 years, 10 months",12000,1/18/2045,1/18/2020,1/18/2035,,,,,,,,
1629145 - Sink 3 - HS,Plumbing,FMX High School,12000,2020-01-19,2034-01-03,2045-01-19,"19 years, 10 months",12000,1/19/2045,1/19/2020,1/19/2035,,,,,,,,
1629146 - Sink 2 - HS,Plumbing,FMX High School,12000,2020-01-20,2034-01-04,2045-01-20,"19 years, 10 months",12000,1/20/2045,1/20/2020,1/20/2035,,,,,,,,
1629147 - Sink 1 - HS,Plumbing,FMX High School,12000,2020-01-21,2034-01-05,2045-01-21,"19 years, 10 months",12000,1/21/2045,1/21/2020,1/21/2035,,,,,,,,
1629148 - Water fountain 1-ES,Plumbing,FMX Elementary School,12000,2020-01-22,2034-01-06,2045-01-22,"19 years, 10 months",12000,1/22/2045,1/22/2020,1/22/2035,,,,,,,,
1629149 - Sewer drain-ES,Plumbing,FMX Elementary School,12000,2020-01-23,2034-01-07,2045-01-23,"19 years, 10 months",12000,1/23/2045,1/23/2020,1/23/2035,,,,,,,,
1629150 - Water shutoff-ES,Plumbing,FMX Elementary School,12000,2020-01-24,2034-01-08,2045-01-24,"19 years, 10 months",12000,1/24/2045,1/24/2020,1/24/2035,,,,,,,,
1629229 - Toilet 1-HS,Plumbing,FMX High School,12000,2020-04-12,2034-04-12,2045-04-13,"20 years, 1 month",12000,4/13/2045,4/12/2020,4/13/2035,,,,,,,,
1629234 - Water Heater 1-ES,Plumbing,FMX Elementary School,12000,2020-04-17,2034-04-17,2045-04-18,"20 years, 1 month",12000,4/18/2045,4/17/2020,4/18/2035,,,,,,,,
1629286 - AHU 1-ES,HVAC,FMX Elementary School,12000,2020-06-08,2034-05-24,2045-06-09,"20 years, 2 months",12000,6/9/2045,6/8/2020,6/9/2035,,,,,Trane,,,
1629322 - AHU 6-ES,HVAC,FMX Elementary School,12000,2020-07-14,2034-05-24,2045-07-15,"20 years, 4 months",12000,7/15/2045,7/14/2020,7/15/2035,,,,,Carrier,,,
1629313 - HP - 14-MS,HVAC,FMX Middle School,12000,2020-07-05,2034-05-24,2045-07-06,"20 years, 3 months",12000,7/6/2045,7/5/2020,7/6/2035,,,,,Carrier,,,
1629295 - HP-17-ES,HVAC,FMX Elementary School,12000,2020-06-17,2034-05-24,2045-06-18,"20 years, 3 months",12000,6/18/2045,6/17/2020,6/18/2035,,,,,Carrier,,,
1629304 - VAV-5-MS,HVAC,FMX Middle School,12000,2020-06-26,2034-05-24,2045-06-27,"20 years, 3 months",12000,6/27/2045,6/26/2020,6/27/2035,,,,,Trane,,,
1629274 - VAV-6-HS,HVAC,FMX High School,12000,2020-05-27,2034-05-24,2045-05-28,"20 years, 2 months",12000,5/28/2045,5/27/2020,5/28/2035,,,,,Trane,,,
1629322 - AHU 6-ES > 1629323 - Compressor 45,HVAC,FMX Elementary School,12000,2020-07-15,2034-05-25,2045-07-16,"20 years, 4 months",12000,7/16/2045,7/15/2020,7/16/2035,,,,,Carrier,,,
1629287 - Chiller 2-ES,HVAC,FMX Elementary School,12000,2020-06-09,2034-05-25,2045-06-10,"20 years, 2 months",12000,6/10/2045,6/9/2020,6/10/2035,,,,,Trane,,,
1629296 - HP-18-ES,HVAC,FMX Elementary School,12000,2020-06-18,2034-05-25,2045-06-19,"20 years, 3 months",12000,6/19/2045,6/18/2020,6/19/2035,,,,,Carrier,,,
1629314 - Light Fixture 124,Electrical,FMX Middle School,12000,2020-07-06,2034-05-25,2045-07-07,"20 years, 3 months",12000,7/7/2045,7/6/2020,7/7/2035,,,,,Carrier,,,
1629305 - VAV-4-MS,HVAC,FMX Middle School,12000,2020-06-27,2034-05-25,2045-06-28,"20 years, 3 months",12000,6/28/2045,6/27/2020,6/28/2035,,,,,Trane,,,
1629275 - VAV-5-HS,HVAC,FMX High School,12000,2020-05-28,2034-05-25,2045-05-29,"20 years, 2 months",12000,5/29/2045,5/28/2020,5/29/2035,,,,,Trane,,,
1629297 - AHU 3-ES,HVAC,FMX Elementary School,12000,2020-06-19,2034-05-26,2045-06-20,"20 years, 3 months",12000,6/20/2045,6/19/2020,6/20/2035,,,,,Carrier,,,
1629324 - AHU 5-MS,HVAC,FMX Middle School,12000,2020-07-16,2034-05-26,2045-07-17,"20 years, 4 months",12000,7/17/2045,7/16/2020,7/17/2035,,,,,,,,
1629315 - Light Fixture 123,Electrical,FMX Middle School,12000,2020-07-07,2034-05-26,2045-07-08,"20 years, 3 months",12000,7/8/2045,7/7/2020,7/8/2035,,,,,Carrier,,,
1629306 - VAV-3-MS,HVAC,FMX Middle School,12000,2020-06-28,2034-05-26,2045-06-29,"20 years, 3 months",12000,6/29/2045,6/28/2020,6/29/2035,,,,,Trane,,,
1629276 - VAV-4-HS,HVAC,FMX High School,12000,2020-05-29,2034-05-26,2045-05-30,"20 years, 2 months",12000,5/30/2045,5/29/2020,5/30/2035,,,,,Trane,,,
1629288 - VAV-6-ES,HVAC,FMX Elementary School,12000,2020-06-10,2034-05-26,2045-06-11,"20 years, 2 months",12000,6/11/2045,6/10/2020,6/11/2035,,,,,Trane,,,
1629316 - AHU 5-HS,HVAC,FMX High School,12000,2020-07-08,2034-05-27,2045-07-09,"20 years, 3 months",12000,7/9/2045,7/8/2020,7/9/2035,,,,,,,,
1629324 - AHU 5-MS > 1629325 - Chiller Planet,HVAC,FMX Middle School,12000,2020-07-17,2034-05-27,2045-07-18,"20 years, 4 months",12000,7/18/2045,7/17/2020,7/18/2035,,,,,,,,
1629298 - HP - 14-ES,HVAC,FMX Elementary School,12000,2020-06-20,2034-05-27,2045-06-21,"20 years, 3 months",12000,6/21/2045,6/20/2020,6/21/2035,,,,,Carrier,,,
1629307 - VAV-2-MS,HVAC,FMX Middle School,12000,2020-06-29,2034-05-27,2045-06-30,"20 years, 3 months",12000,6/30/2045,6/29/2020,6/30/2035,,,,,Trane,,,
1629277 - VAV-3-HS,HVAC,FMX High School,12000,2020-05-30,2034-05-27,2045-05-31,"20 years, 2 months",12000,5/31/2045,5/30/2020,5/31/2035,,,,,Trane,,,
1629289 - VAV-5-ES,HVAC,FMX Elementary School,12000,2020-06-11,2034-05-27,2045-06-12,"20 years, 2 months",12000,6/12/2045,6/11/2020,6/12/2035,,,,,Trane,,,
1629151 - Water fountain 6-ES,Plumbing,FMX Elementary School,12000,2020-01-25,2035-01-01,2045-01-25,"19 years, 10 months",12000,1/25/2045,1/25/2020,1/25/2035,,,,,,,,
1629152 - Drain-ES,Plumbing,FMX Elementary School,12000,2020-01-26,2035-01-02,2045-01-26,"19 years, 10 months",12000,1/26/2045,1/26/2020,1/26/2035,,,,,,,,
1629153 - sink 6-ES,Plumbing,FMX Elementary School,12000,2020-01-27,2035-01-03,2045-01-27,"19 years, 10 months",12000,1/27/2045,1/27/2020,1/27/2035,,,,,,,,
1629154 - Sink 4-ES,Plumbing,FMX Elementary School,12000,2020-01-28,2035-01-04,2045-01-28,"19 years, 10 months",12000,1/28/2045,1/28/2020,1/28/2035,,,,,,,,
1629155 - Sink 3-ES,Plumbing,FMX Elementary School,12000,2020-01-29,2035-01-05,2045-01-29,"19 years, 10 months",12000,1/29/2045,1/29/2020,1/29/2035,,,,,,,,
1629156 - Sink 2-ES,Plumbing,FMX Elementary School,12000,2020-01-30,2035-01-06,2045-01-30,"19 years, 10 months",12000,1/30/2045,1/30/2020,1/30/2035,,,,,,,,
1629157 - Sink 1-ES,Plumbing,FMX Elementary School,12000,2020-01-31,2035-01-07,2045-01-31,"19 years, 10 months",12000,1/31/2045,1/31/2020,1/31/2035,,,,,,,,
1629158 - Valve 2-MS,Plumbing,FMX Middle School,12000,2020-02-01,2035-01-08,2045-02-01,"19 years, 10 months",12000,2/1/2045,2/1/2020,2/1/2035,,,,,,,,
1629159 - Water fountain 1-MS,Plumbing,FMX Middle School,12000,2020-02-02,2035-01-09,2045-02-02,"19 years, 10 months",12000,2/2/2045,2/2/2020,2/2/2035,,,,,,,,
1629160 - Sewer drain-MS,Plumbing,FMX Middle School,12000,2020-02-03,2035-01-10,2045-02-03,"19 years, 10 months",12000,2/3/2045,2/3/2020,2/3/2035,,,,,,,,
1629235 - DHW-2-ES,Plumbing,FMX Elementary School,12000,2020-04-18,2035-04-17,2045-04-19,"20 years, 1 month",12000,4/19/2045,4/18/2020,4/19/2035,,,,,,,,
1629251 - Drinking Fountain 1-MS,Plumbing,FMX Middle School,12000,2020-05-04,2035-04-17,2045-05-05,"20 years, 1 month",12000,5/5/2045,5/4/2020,5/5/2035,,,,,,,,
1629259 - Electric Panel 02-MS,Electrical,FMX Middle School,12000,2020-05-12,2035-04-17,2045-05-13,"20 years, 2 months",12000,5/13/2045,5/12/2020,5/13/2035,,,,,,,,
1629243 - Water Heater 1-MS,Plumbing,FMX Middle School,12000,2020-04-26,2035-04-17,2045-04-27,"20 years, 1 month",12000,4/27/2045,4/26/2020,4/27/2035,,,,,,,,
1629299 - AHU 2-MS,HVAC,FMX Middle School,12000,2020-06-21,2035-05-24,2045-06-22,"20 years, 3 months",12000,6/22/2045,6/21/2020,6/22/2035,,,,,Trane,,,
1629316 - AHU 5-HS > 1629317 - Chiller Planet,HVAC,FMX High School,12000,2020-07-09,2035-05-24,2045-07-10,"20 years, 3 months",12000,7/10/2045,7/9/2020,7/10/2035,,,,,,,,
1629326 - AHU 6-MS,HVAC,FMX Middle School,12000,2020-07-18,2035-05-24,2045-07-19,"20 years, 4 months",12000,7/19/2045,7/18/2020,7/19/2035,,,,,Carrier,,,
1629308 - VAV-1-MS,HVAC,FMX Middle School,12000,2020-06-30,2035-05-24,2045-07-01,"20 years, 3 months",12000,7/1/2045,6/30/2020,7/1/2035,,,,,Trane,,,
1629278 - VAV-2-HS,HVAC,FMX High School,12000,2020-05-31,2035-05-24,2045-06-01,"20 years, 2 months",12000,6/1/2045,5/31/2020,6/1/2035,,,,,Trane,,,
1629290 - VAV-4-ES,HVAC,FMX Elementary School,12000,2020-06-12,2035-05-24,2045-06-13,"20 years, 3 months",12000,6/13/2045,6/12/2020,6/13/2035,,,,,Trane,,,
1629300 - AHU 4-MS,HVAC,FMX Middle School,12000,2020-06-22,2035-05-25,2045-06-23,"20 years, 3 months",12000,6/23/2045,6/22/2020,6/23/2035,,,,,Trane,,,
1629318 - AHU 6-HS,HVAC,FMX High School,12000,2020-07-10,2035-05-25,2045-07-11,"20 years, 3 months",12000,7/11/2045,7/10/2020,7/11/2035,,,,,Carrier,,,
1629326 - AHU 6-MS > 1629327 - Compressor 45,HVAC,FMX Middle School,12000,2020-07-19,2035-05-25,2045-07-20,"20 years, 4 months",12000,7/20/2045,7/19/2020,7/20/2035,,,,,Carrier,,,
1629309 - HP-16-MS,HVAC,FMX Middle School,12000,2020-07-01,2035-05-25,2045-07-02,"20 years, 3 months",12000,7/2/2045,7/1/2020,7/2/2035,,,,,Trane,,,
1629279 - VAV-1-HS,HVAC,FMX High School,12000,2020-06-01,2035-05-25,2045-06-02,"20 years, 2 months",12000,6/2/2045,6/1/2020,6/2/2035,,,,,Trane,,,
1629291 - VAV-3-ES,HVAC,FMX Elementary School,12000,2020-06-13,2035-05-25,2045-06-14,"20 years, 3 months",12000,6/14/2045,6/13/2020,6/14/2035,,,,,Trane,,,
1629301 - AHU 1-MS,HVAC,FMX Middle School,12000,2020-06-23,2035-05-26,2045-06-24,"20 years, 3 months",12000,6/24/2045,6/23/2020,6/24/2035,,,,,Trane,,,
1629318 - AHU 6-HS > 1629319 - Compressor 45,HVAC,FMX High School,12000,2020-07-11,2035-05-26,2045-07-12,"20 years, 3 months",12000,7/12/2045,7/11/2020,7/12/2035,,,,,Carrier,,,
1629280 - HP-16-HS,HVAC,FMX High School,12000,2020-06-02,2035-05-26,2045-06-03,"20 years, 2 months",12000,6/3/2045,6/2/2020,6/3/2035,,,,,Trane,,,
1629310 - HP-17-MS,HVAC,FMX Middle School,12000,2020-07-02,2035-05-26,2045-07-03,"20 years, 3 months",12000,7/3/2045,7/2/2020,7/3/2035,,,,,Carrier,,,
1629292 - VAV-2-ES,HVAC,FMX Elementary School,12000,2020-06-14,2035-05-26,2045-06-15,"20 years, 3 months",12000,6/15/2045,6/14/2020,6/15/2035,,,,,Trane,,,
1629281 - HP-17-HS,HVAC,FMX High School,12000,2020-06-03,2035-05-27,2045-06-04,"20 years, 2 months",12000,6/4/2045,6/3/2020,6/4/2035,,,,,Carrier,,,
